trial,fractal_left,fractal_right,prob_left,prob_right,reward_left,reward_right
55,fig/14.jpg,fig/13.jpg,0.740,0.750,1,1
56,fig/14.jpg,fig/13.jpg,0.659,0.711,1,1
57,fig/14.jpg,fig/13.jpg,0.605,0.339,1,1
58,fig/14.jpg,fig/13.jpg,0.401,0.250,1,1
59,fig/14.jpg,fig/13.jpg,0.613,0.271,1,1
60,fig/14.jpg,fig/13.jpg,0.750,0.316,1,1
61,fig/14.jpg,fig/13.jpg,0.750,0.488,1,1
62,fig/14.jpg,fig/13.jpg,0.750,0.561,1,1
63,fig/14.jpg,fig/13.jpg,0.750,0.260,1,1
64,fig/14.jpg,fig/13.jpg,0.750,0.368,1,1
65,fig/14.jpg,fig/13.jpg,0.750,0.333,1,1
66,fig/14.jpg,fig/13.jpg,0.616,0.382,1,1
67,fig/14.jpg,fig/13.jpg,0.486,0.384,1,1
68,fig/14.jpg,fig/13.jpg,0.702,0.250,1,1
69,fig/14.jpg,fig/13.jpg,0.697,0.250,1,1
70,fig/14.jpg,fig/13.jpg,0.750,0.392,1,1
71,fig/14.jpg,fig/13.jpg,0.750,0.500,1,1
72,fig/14.jpg,fig/13.jpg,0.750,0.455,1,1
73,fig/14.jpg,fig/13.jpg,0.750,0.562,1,1
74,fig/14.jpg,fig/13.jpg,0.734,0.596,1,1
75,fig/14.jpg,fig/13.jpg,0.750,0.724,1,1
76,fig/14.jpg,fig/13.jpg,0.750,0.750,1,1
77,fig/14.jpg,fig/13.jpg,0.728,0.750,1,1
78,fig/14.jpg,fig/13.jpg,0.628,0.750,1,1
79,fig/14.jpg,fig/13.jpg,0.683,0.750,1,1
80,fig/14.jpg,fig/13.jpg,0.750,0.406,1,1
81,fig/14.jpg,fig/13.jpg,0.750,0.414,1,1
82,fig/14.jpg,fig/13.jpg,0.750,0.459,1,1
83,fig/14.jpg,fig/13.jpg,0.750,0.608,1,1
84,fig/14.jpg,fig/13.jpg,0.684,0.704,1,1
85,fig/14.jpg,fig/13.jpg,0.742,0.557,1,1
86,fig/14.jpg,fig/13.jpg,0.602,0.558,1,1
87,fig/14.jpg,fig/13.jpg,0.749,0.718,1,1
88,fig/14.jpg,fig/13.jpg,0.661,0.750,1,1
89,fig/14.jpg,fig/13.jpg,0.707,0.750,1,1
90,fig/14.jpg,fig/13.jpg,0.578,0.750,1,1
91,fig/14.jpg,fig/13.jpg,0.419,0.623,1,1
92,fig/14.jpg,fig/13.jpg,0.288,0.562,1,1
93,fig/14.jpg,fig/13.jpg,0.677,0.616,1,1
94,fig/14.jpg,fig/13.jpg,0.619,0.750,1,1
95,fig/14.jpg,fig/13.jpg,0.577,0.463,1,1
96,fig/14.jpg,fig/13.jpg,0.635,0.479,1,1
97,fig/14.jpg,fig/13.jpg,0.674,0.467,1,1
98,fig/14.jpg,fig/13.jpg,0.750,0.414,1,1
99,fig/14.jpg,fig/13.jpg,0.480,0.428,1,1
100,fig/14.jpg,fig/13.jpg,0.381,0.275,1,1
