trial,fractal_left,fractal_right,prob_left,prob_right,reward_left,reward_right
58,fig/19.jpg,fig/16.jpg,0.750,0.648,1,1
59,fig/19.jpg,fig/16.jpg,0.750,0.640,1,1
60,fig/19.jpg,fig/16.jpg,0.594,0.701,1,1
61,fig/19.jpg,fig/16.jpg,0.553,0.746,1,1
62,fig/19.jpg,fig/16.jpg,0.591,0.750,1,1
63,fig/19.jpg,fig/16.jpg,0.573,0.750,1,1
64,fig/19.jpg,fig/16.jpg,0.597,0.633,1,1
65,fig/19.jpg,fig/16.jpg,0.645,0.664,1,1
66,fig/19.jpg,fig/16.jpg,0.675,0.671,1,1
67,fig/19.jpg,fig/16.jpg,0.750,0.679,1,1
68,fig/19.jpg,fig/16.jpg,0.750,0.720,1,1
69,fig/19.jpg,fig/16.jpg,0.703,0.655,1,1
70,fig/19.jpg,fig/16.jpg,0.716,0.652,1,1
71,fig/19.jpg,fig/16.jpg,0.617,0.715,1,1
72,fig/19.jpg,fig/16.jpg,0.577,0.654,1,1
73,fig/19.jpg,fig/16.jpg,0.645,0.542,1,1
74,fig/19.jpg,fig/16.jpg,0.702,0.530,1,1
75,fig/19.jpg,fig/16.jpg,0.674,0.487,1,1
76,fig/19.jpg,fig/16.jpg,0.698,0.539,1,1
77,fig/19.jpg,fig/16.jpg,0.750,0.420,1,1
78,fig/19.jpg,fig/16.jpg,0.620,0.348,1,1
79,fig/19.jpg,fig/16.jpg,0.509,0.291,1,1
80,fig/19.jpg,fig/16.jpg,0.554,0.250,1,1
81,fig/19.jpg,fig/16.jpg,0.500,0.364,1,1
82,fig/19.jpg,fig/16.jpg,0.422,0.480,1,1
83,fig/19.jpg,fig/16.jpg,0.401,0.410,1,1
84,fig/19.jpg,fig/16.jpg,0.458,0.466,1,1
85,fig/19.jpg,fig/16.jpg,0.566,0.562,1,1
86,fig/19.jpg,fig/16.jpg,0.384,0.585,1,1
87,fig/19.jpg,fig/16.jpg,0.383,0.697,1,1
88,fig/19.jpg,fig/16.jpg,0.440,0.750,1,1
89,fig/19.jpg,fig/16.jpg,0.437,0.750,1,1
90,fig/19.jpg,fig/16.jpg,0.606,0.693,1,1
91,fig/19.jpg,fig/16.jpg,0.602,0.618,1,1
92,fig/19.jpg,fig/16.jpg,0.707,0.580,1,1
93,fig/19.jpg,fig/16.jpg,0.697,0.743,1,1
94,fig/19.jpg,fig/16.jpg,0.750,0.750,1,1
95,fig/19.jpg,fig/16.jpg,0.750,0.666,1,1
96,fig/19.jpg,fig/16.jpg,0.750,0.604,1,1
97,fig/19.jpg,fig/16.jpg,0.612,0.671,1,1
98,fig/19.jpg,fig/16.jpg,0.504,0.666,1,1
99,fig/19.jpg,fig/16.jpg,0.450,0.750,1,1
100,fig/19.jpg,fig/16.jpg,0.397,0.750,1,1
